countries,hts_code,condition
2050;2110;2150;2190;2230;2470,52105940,fta
2050;2110;2150;2190;2230;2470,52105960,fta
2050;2110;2150;2190;2230;2470,52105980,fta
2050;2110;2150;2190;2230;2470,52111100,fta
2050;2110;2150;2190;2230;2470,52111200,fta
2050;2110;2150;2190;2230;2470,52111900,fta
2050;2110;2150;2190;2230;2470,52112021,fta
2050;2110;2150;2190;2230;2470,52112022,fta
2050;2110;2150;2190;2230;2470,52112029,fta
2050;2110;2150;2190;2230;2470,52113100,fta
2050;2110;2150;2190;2230;2470,52113200,fta
2050;2110;2150;2190;2230;2470,52113900,fta
2050;2110;2150;2190;2230;2470,52114100,fta
2050;2110;2150;2190;2230;2470,52114200,fta
2050;2110;2150;2190;2230;2470,52114300,fta
2050;2110;2150;2190;2230;2470,52114900,fta
2050;2110;2150;2190;2230;2470,52115100,fta
2050;2110;2150;2190;2230;2470,52115200,fta
2050;2110;2150;2190;2230;2470,52115900,fta
2050;2110;2150;2190;2230;2470,52121110,fta
2050;2110;2150;2190;2230;2470,52121160,fta
2050;2110;2150;2190;2230;2470,52121210,fta
2050;2110;2150;2190;2230;2470,52121260,fta
2050;2110;2150;2190;2230;2470,52121310,fta
2050;2110;2150;2190;2230;2470,52121360,fta
2050;2110;2150;2190;2230;2470,52121410,fta
2050;2110;2150;2190;2230;2470,52121460,fta
2050;2110;2150;2190;2230;2470,52121510,fta
2050;2110;2150;2190;2230;2470,52121560,fta
2050;2110;2150;2190;2230;2470,52122110,fta
2050;2110;2150;2190;2230;2470,52122160,fta
2050;2110;2150;2190;2230;2470,52122210,fta
2050;2110;2150;2190;2230;2470,52122260,fta
2050;2110;2150;2190;2230;2470,52122310,fta
2050;2110;2150;2190;2230;2470,52122360,fta
2050;2110;2150;2190;2230;2470,52122410,fta
2050;2110;2150;2190;2230;2470,52122460,fta
2050;2110;2150;2190;2230;2470,52122510,fta
2050;2110;2150;2190;2230;2470,52122560,fta
2050;2110;2150;2190;2230;2470,53011000,fta
2050;2110;2150;2190;2230;2470,53012100,fta
2050;2110;2150;2190;2230;2470,53012900,fta
2050;2110;2150;2190;2230;2470,53013000,fta
2050;2110;2150;2190;2230;2470,53021000,fta
2050;2110;2150;2190;2230;2470,53029000,fta
2050;2110;2150;2190;2230;2470,53031000,fta
2050;2110;2150;2190;2230;2470,53039000,fta
2050;2110;2150;2190;2230;2470,53050000,fta
2050;2110;2150;2190;2230;2470,53061000,fta
2050;2110;2150;2190;2230;2470,53062000,fta
2050;2110;2150;2190;2230;2470,53071000,fta
2050;2110;2150;2190;2230;2470,53072000,fta
2050;2110;2150;2190;2230;2470,53081000,fta
2050;2110;2150;2190;2230;2470,53082000,fta
2050;2110;2150;2190;2230;2470,53089010,fta
2050;2110;2150;2190;2230;2470,53089090,fta
2050;2110;2150;2190;2230;2470,53091100,fta
2050;2110;2150;2190;2230;2470,53091900,fta
2050;2110;2150;2190;2230;2470,53092120,fta
2050;2110;2150;2190;2230;2470,53092130,fta
2050;2110;2150;2190;2230;2470,53092140,fta
2050;2110;2150;2190;2230;2470,53092920,fta
2050;2110;2150;2190;2230;2470,53092930,fta
2050;2110;2150;2190;2230;2470,53092940,fta
2050;2110;2150;2190;2230;2470,53101000,fta
2050;2110;2150;2190;2230;2470,53109000,fta
2050;2110;2150;2190;2230;2470,53110020,fta
2050;2110;2150;2190;2230;2470,53110030,fta
2050;2110;2150;2190;2230;2470,53110040,fta
2050;2110;2150;2190;2230;2470,53110060,fta
2050;2110;2150;2190;2230;2470,54011000,fta
2050;2110;2150;2190;2230;2470,54012000,fta
2050;2110;2150;2190;2230;2470,54021130,fta
2050;2110;2150;2190;2230;2470,54021160,fta
2050;2110;2150;2190;2230;2470,54021930,fta
2050;2110;2150;2190;2230;2470,54021960,fta
2050;2110;2150;2190;2230;2470,54022030,fta
2050;2110;2150;2190;2230;2470,54022060,fta
2050;2110;2150;2190;2230;2470,54023130,fta
2050;2110;2150;2190;2230;2470,54023160,fta
2050;2110;2150;2190;2230;2470,54023230,fta
2050;2110;2150;2190;2230;2470,54023260,fta
2050;2110;2150;2190;2230;2470,54023330,fta
2050;2110;2150;2190;2230;2470,54023360,fta
2050;2110;2150;2190;2230;2470,54023430,fta
2050;2110;2150;2190;2230;2470,54023460,fta
2050;2110;2150;2190;2230;2470,54023931,fta
2050;2110;2150;2190;2230;2470,54023961,fta
2050;2110;2150;2190;2230;2470,54024400,fta
2050;2110;2150;2190;2230;2470,54024510,fta
2050;2110;2150;2190;2230;2470,54024590,fta
2050;2110;2150;2190;2230;2470,54024600,fta
2050;2110;2150;2190;2230;2470,54024710,fta
2050;2110;2150;2190;2230;2470,54024790,fta
2050;2110;2150;2190;2230;2470,54024800,fta
2050;2110;2150;2190;2230;2470,54024911,fta
2050;2110;2150;2190;2230;2470,54024991,fta
2050;2110;2150;2190;2230;2470,54025100,fta
2050;2110;2150;2190;2230;2470,54025210,fta
2050;2110;2150;2190;2230;2470,54025290,fta
2050;2110;2150;2190;2230;2470,54025300,fta
2050;2110;2150;2190;2230;2470,54025901,fta
2050;2110;2150;2190;2230;2470,54026100,fta
2050;2110;2150;2190;2230;2470,54026200,fta
2050;2110;2150;2190;2230;2470,54026300,fta
2050;2110;2150;2190;2230;2470,54026901,fta
2050;2110;2150;2190;2230;2470,54031030,fta
2050;2110;2150;2190;2230;2470,54031060,fta
2050;2110;2150;2190;2230;2470,54033100,fta
2050;2110;2150;2190;2230;2470,54033200,fta
2050;2110;2150;2190;2230;2470,54033300,fta
2050;2110;2150;2190;2230;2470,54033910,fta
2050;2110;2150;2190;2230;2470,54033990,fta
2050;2110;2150;2190;2230;2470,54034100,fta
2050;2110;2150;2190;2230;2470,54034200,fta
2050;2110;2150;2190;2230;2470,54034910,fta
2050;2110;2150;2190;2230;2470,54034990,fta
2050;2110;2150;2190;2230;2470,54041100,fta
2050;2110;2150;2190;2230;2470,54041210,fta
2050;2110;2150;2190;2230;2470,54041290,fta
2050;2110;2150;2190;2230;2470,54041910,fta
2050;2110;2150;2190;2230;2470,54041980,fta
2050;2110;2150;2190;2230;2470,54049000,fta
2050;2110;2150;2190;2230;2470,54050030,fta
2050;2110;2150;2190;2230;2470,54050060,fta
2050;2110;2150;2190;2230;2470,54060010,fta
2050;2110;2150;2190;2230;2470,54060020,fta
2050;2110;2150;2190;2230;2470,54071000,fta
2050;2110;2150;2190;2230;2470,54072000,fta
2050;2110;2150;2190;2230;2470,54073010,fta
2050;2110;2150;2190;2230;2470,54073090,fta
2050;2110;2150;2190;2230;2470,54074100,fta
2050;2110;2150;2190;2230;2470,54074200,fta
2050;2110;2150;2190;2230;2470,54074310,fta
2050;2110;2150;2190;2230;2470,54074320,fta
2050;2110;2150;2190;2230;2470,54074400,fta
2050;2110;2150;2190;2230;2470,54075100,fta
2050;2110;2150;2190;2230;2470,54075205,fta
2050;2110;2150;2190;2230;2470,54075220,fta
2050;2110;2150;2190;2230;2470,54075310,fta
2050;2110;2150;2190;2230;2470,54075320,fta
2050;2110;2150;2190;2230;2470,54075400,fta
2050;2110;2150;2190;2230;2470,54076111,fta
2050;2110;2150;2190;2230;2470,54076119,fta
2050;2110;2150;2190;2230;2470,54076121,fta
2050;2110;2150;2190;2230;2470,54076129,fta
2050;2110;2150;2190;2230;2470,54076191,fta
2050;2110;2150;2190;2230;2470,54076199,fta
2050;2110;2150;2190;2230;2470,54076910,fta
2050;2110;2150;2190;2230;2470,54076920,fta
2050;2110;2150;2190;2230;2470,54076930,fta
2050;2110;2150;2190;2230;2470,54076940,fta
2050;2110;2150;2190;2230;2470,54076990,fta
2050;2110;2150;2190;2230;2470,54077100,fta
2050;2110;2150;2190;2230;2470,54077200,fta
2050;2110;2150;2190;2230;2470,54077310,fta
2050;2110;2150;2190;2230;2470,54077320,fta
2050;2110;2150;2190;2230;2470,54077400,fta
2050;2110;2150;2190;2230;2470,54078100,fta
2050;2110;2150;2190;2230;2470,54078200,fta
2050;2110;2150;2190;2230;2470,54078300,fta
2050;2110;2150;2190;2230;2470,54078400,fta
2050;2110;2150;2190;2230;2470,54079105,fta
2050;2110;2150;2190;2230;2470,54079110,fta
2050;2110;2150;2190;2230;2470,54079120,fta
2050;2110;2150;2190;2230;2470,54079205,fta
2050;2110;2150;2190;2230;2470,54079210,fta
2050;2110;2150;2190;2230;2470,54079220,fta
2050;2110;2150;2190;2230;2470,54079305,fta
2050;2110;2150;2190;2230;2470,54079310,fta
2050;2110;2150;2190;2230;2470,54079315,fta
2050;2110;2150;2190;2230;2470,54079320,fta
2050;2110;2150;2190;2230;2470,54079405,fta
2050;2110;2150;2190;2230;2470,54079410,fta
2050;2110;2150;2190;2230;2470,54079420,fta
2050;2110;2150;2190;2230;2470,54081000,fta
2050;2110;2150;2190;2230;2470,54082100,fta
2050;2110;2150;2190;2230;2470,54082210,fta
2050;2110;2150;2190;2230;2470,54082290,fta
2050;2110;2150;2190;2230;2470,54082311,fta
2050;2110;2150;2190;2230;2470,54082319,fta
2050;2110;2150;2190;2230;2470,54082321,fta
2050;2110;2150;2190;2230;2470,54082329,fta
2050;2110;2150;2190;2230;2470,54082410,fta
2050;2110;2150;2190;2230;2470,54082490,fta
2050;2110;2150;2190;2230;2470,54083105,fta
2050;2110;2150;2190;2230;2470,54083110,fta
2050;2110;2150;2190;2230;2470,54083120,fta
2050;2110;2150;2190;2230;2470,54083205,fta
