hts_prefix,ch99_code,derivative_type,effective_date
8481909085,9903.85.08,aluminum,2025-03-12
8482105004,9903.81.91,steel,2025-08-18
8482105008,9903.81.91,steel,2025-08-18
8482105012,9903.81.91,steel,2025-08-18
8482105016,9903.81.91,steel,2025-08-18
8482105024,9903.81.91,steel,2025-08-18
8482105028,9903.81.91,steel,2025-08-18
8482105032,9903.81.91,steel,2025-08-18
8482105036,9903.81.91,steel,2025-08-18
8482105052,9903.81.91,steel,2025-08-18
8482105056,9903.81.91,steel,2025-08-18
8482105060,9903.81.91,steel,2025-08-18
8482105064,9903.81.91,steel,2025-08-18
8482105068,9903.81.91,steel,2025-08-18
8482200064,9903.81.91,steel,2025-08-18
8482200067,9903.81.91,steel,2025-08-18
8482200090,9903.81.91,steel,2025-08-18
84829905,9903.81.91,steel,2025-08-18
84829915,9903.81.91,steel,2025-08-18
84829925,9903.81.91,steel,2025-08-18
84829935,9903.81.91,steel,2025-08-18
84829945,9903.81.91,steel,2025-08-18
84829965,9903.81.91,steel,2025-08-18
8483101010,9903.81.91,steel,2025-08-18
8483101050,9903.81.91,steel,2025-08-18
84831050,9903.81.91,steel,2025-08-18
84832040,9903.81.91,steel,2025-08-18
84832080,9903.81.91,steel,2025-08-18
84833040,9903.81.91,steel,2025-08-18
84833080,9903.81.91,steel,2025-08-18
84834010,9903.81.91,steel,2025-08-18
84834050,9903.85.08,aluminum,2025-08-18
84834050,9903.81.91,steel,2025-08-18
84834090,9903.81.91,steel,2025-08-18
84835060,9903.81.91,steel,2025-08-18
84835090,9903.81.91,steel,2025-08-18
84836040,9903.81.91,steel,2025-08-18
84836080,9903.81.91,steel,2025-08-18
84839020,9903.81.91,steel,2025-08-18
84839030,9903.81.91,steel,2025-08-18
84839050,9903.81.91,steel,2025-08-18
8483905020,9903.85.08,aluminum,2025-08-18
84839070,9903.81.91,steel,2025-08-18
84839080,9903.81.91,steel,2025-08-18
8486900000,9903.85.08,aluminum,2025-03-12
8487900080,9903.85.08,aluminum,2025-03-12
85015340,9903.81.91,steel,2025-08-18
85015360,9903.81.91,steel,2025-08-18
85015380,9903.81.91,steel,2025-08-18
85016401,9903.85.08,aluminum,2025-08-18
85016401,9903.81.91,steel,2025-08-18
85022000,9903.85.08,aluminum,2025-08-18
8502310000,9903.85.08,aluminum,2025-08-18
8502310000,9903.81.91,steel,2025-08-18
85030035,9903.81.91,steel,2025-08-18
85030045,9903.81.91,steel,2025-08-18
85030065,9903.81.91,steel,2025-08-18
85030075,9903.81.91,steel,2025-08-18
85030090,9903.81.91,steel,2025-08-18
85030095,9903.81.91,steel,2025-08-18
8503009520,9903.85.08,aluminum,2025-03-12
8503009546,9903.85.08,aluminum,2025-08-18
8503009570,9903.85.08,aluminum,2025-08-18
85042300,9903.81.91,steel,2025-08-18
85043120,9903.85.08,aluminum,2025-08-18
85043140,9903.85.08,aluminum,2025-08-18
85043160,9903.85.08,aluminum,2025-08-18
85043300,9903.85.08,aluminum,2025-08-18
85043300,9903.81.91,steel,2025-08-18
85043400,9903.85.08,aluminum,2025-08-18
85049020,9903.85.08,aluminum,2025-08-18
85049041,9903.85.08,aluminum,2025-08-18
85049065,9903.85.08,aluminum,2025-08-18
85049075,9903.85.08,aluminum,2025-08-18
85049096,9903.85.08,aluminum,2025-08-18
8504909634,9903.81.91,steel,2025-08-18
8504909638,9903.81.91,steel,2025-08-18
8504909642,9903.81.91,steel,2025-08-18
8508700000,9903.85.08,aluminum,2025-03-12
8513902000,9903.85.08,aluminum,2025-03-12
85142040,9903.81.91,steel,2025-08-18
85142060,9903.81.91,steel,2025-08-18
8515902000,9903.85.08,aluminum,2025-03-12
85162900,9903.81.91,steel,2025-08-18
85166060,9903.81.91,steel,2025-08-18
8516905000,9903.85.08,aluminum,2025-03-12
8516908050,9903.85.08,aluminum,2025-03-12
8517710000,9903.85.08,aluminum,2025-03-12
8517790000,9903.85.08,aluminum,2025-03-12
8529907300,9903.85.08,aluminum,2025-03-12
8529909760,9903.85.08,aluminum,2025-03-12
8536908585,9903.85.08,aluminum,2025-03-12
8538100000,9903.85.08,aluminum,2025-03-12
8541900000,9903.85.08,aluminum,2025-03-12
8541900010,9903.85.08,aluminum,2026-01-30
8541900080,9903.85.08,aluminum,2026-01-30
8543908885,9903.85.08,aluminum,2025-03-12
85441900,9903.85.08,aluminum,2025-08-18
85444290,9903.85.08,aluminum,2025-08-18
8544492000,9903.85.08,aluminum,2025-08-18
8544499000,9903.85.08,aluminum,2025-08-18
8544602000,9903.85.08,aluminum,2025-08-18
8544606000,9903.85.08,aluminum,2025-08-18
85479000,9903.81.91,steel,2025-03-12
8547900020,9903.85.08,aluminum,2025-03-12
8547900030,9903.85.08,aluminum,2025-03-12
8547900040,9903.85.08,aluminum,2025-03-12
86011000,9903.81.91,steel,2025-08-18
86012000,9903.81.91,steel,2025-08-18
86021000,9903.81.91,steel,2025-08-18
86029000,9903.81.91,steel,2025-08-18
86031000,9903.81.91,steel,2025-08-18
86039000,9903.81.91,steel,2025-08-18
86040000,9903.81.91,steel,2025-08-18
86050000,9903.81.91,steel,2025-08-18
86071100,9903.81.91,steel,2025-08-18
8607190300,9903.81.91,steel,2025-08-18
86071906,9903.81.91,steel,2025-08-18
86071912,9903.81.91,steel,2025-08-18
86071915,9903.81.91,steel,2025-08-18
86071990,9903.81.91,steel,2025-08-18
86072150,9903.81.91,steel,2025-08-18
86073010,9903.81.91,steel,2025-08-18
86073050,9903.81.91,steel,2025-08-18
86079100,9903.81.91,steel,2025-08-18
86079950,9903.81.91,steel,2025-08-18
86090000,9903.81.91,steel,2025-08-18
87011001,9903.81.91,steel,2025-08-18
8701210080,9903.81.91,steel,2025-08-18
8701220080,9903.81.91,steel,2025-08-18
8701230080,9903.81.91,steel,2025-08-18
8701240080,9903.81.91,steel,2025-08-18
