prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
28269090,2025_rev_7,2026_rev_10,NA,NA,NA
28273100,2025_rev_7,2026_rev_10,NA,NA,NA
28273945,2025_rev_7,2026_rev_10,NA,NA,NA
28273960,2025_rev_7,2026_rev_10,NA,NA,NA
28273990,2025_rev_7,2026_rev_10,NA,NA,NA
28274100,2025_rev_7,2026_rev_10,NA,NA,NA
28274950,2025_rev_7,2026_rev_10,NA,NA,NA
28275951,2025_rev_7,2026_rev_10,NA,NA,NA
28276010,2025_rev_7,2026_rev_10,NA,NA,NA
28276051,2025_rev_7,2026_rev_10,NA,NA,NA
28332100,2025_rev_7,2026_rev_10,NA,NA,NA
28332400,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
28332500,2025_rev_7,2026_rev_10,NA,NA,NA
28332700,2025_rev_7,2026_rev_10,NA,NA,NA
28332910,2025_rev_7,2026_rev_10,NA,NA,NA
28332945,2025_rev_7,2026_rev_10,NA,NA,NA
28332951,2025_rev_7,2026_rev_10,NA,NA,NA
28342100,2025_rev_7,2026_rev_10,NA,NA,NA
28342920,2025_rev_7,2026_rev_10,NA,NA,NA
28342951,2025_rev_7,2026_rev_10,NA,NA,NA
28366000,2025_rev_7,2026_rev_10,NA,NA,NA
28369100,2025_rev_7,2026_rev_10,NA,NA,NA
28369200,2025_rev_7,2026_rev_10,NA,NA,NA
28369910,2025_rev_7,2026_rev_10,NA,NA,NA
28369950,2025_rev_7,2026_rev_10,NA,NA,NA
28418000,2025_rev_7,2026_rev_10,NA,NA,NA
28419020,2025_rev_7,2026_rev_10,NA,NA,NA
28419040,2025_rev_7,2026_rev_10,NA,NA,NA
28432901,2025_rev_7,2026_rev_10,NA,NA,NA
28433000,2025_rev_7,2026_rev_10,NA,NA,NA
28439000,2025_rev_7,2026_rev_10,NA,NA,NA
28441010,2025_rev_7,2026_rev_10,NA,NA,NA
28441020,2025_rev_7,2026_rev_10,NA,NA,NA
28442000,2025_rev_7,2026_rev_10,NA,NA,NA
28443020,2025_rev_7,2026_rev_10,NA,NA,NA
