hts8,program,ch99_heading
85299021,motor_vehicles,9903.03.14
85299081,motor_vehicles,9903.03.14
85299087,motor_vehicles,9903.03.14
85340000,motor_vehicles,9903.03.14
85371091,motor_vehicles,9903.03.14
85437098,motor_vehicles,9903.03.14
85444930,motor_vehicles,9903.03.14
85447000,motor_vehicles,9903.03.14
87115000,motor_vehicles,9903.03.14
89059010,motor_vehicles,9903.03.14
89069000,motor_vehicles,9903.03.14
89079000,motor_vehicles,9903.03.14
90314990,motor_vehicles,9903.03.14
94013900,motor_vehicles,9903.03.14
94016960,motor_vehicles,9903.03.14
94017100,motor_vehicles,9903.03.14
94017900,motor_vehicles,9903.03.14
94019190,motor_vehicles,9903.03.14
94019910,motor_vehicles,9903.03.14
94032000,motor_vehicles,9903.03.14
94035090,motor_vehicles,9903.03.14
94036080,motor_vehicles,9903.03.14
94037080,motor_vehicles,9903.03.14
94039910,motor_vehicles,9903.03.14
94039920,motor_vehicles,9903.03.14
94039930,motor_vehicles,9903.03.14
94039940,motor_vehicles,9903.03.14
94039950,motor_vehicles,9903.03.14
94051160,motor_vehicles,9903.03.14
94051180,motor_vehicles,9903.03.14
94054260,motor_vehicles,9903.03.14
94054284,motor_vehicles,9903.03.14
94059940,motor_vehicles,9903.03.14
95030000,motor_vehicles,9903.03.14
95043000,motor_vehicles,9903.03.14
95045000,motor_vehicles,9903.03.14
95049040,motor_vehicles,9903.03.14
95051025,motor_vehicles,9903.03.14
95059060,motor_vehicles,9903.03.14
95063900,motor_vehicles,9903.03.14
95067040,motor_vehicles,9903.03.14
95067060,motor_vehicles,9903.03.14
95069100,motor_vehicles,9903.03.14
95069955,motor_vehicles,9903.03.14
95069960,motor_vehicles,9903.03.14
95071000,motor_vehicles,9903.03.14
97012100,motor_vehicles,9903.03.14
97019100,motor_vehicles,9903.03.14
97019900,motor_vehicles,9903.03.14
97029000,motor_vehicles,9903.03.14
97031000,motor_vehicles,9903.03.14
97039000,motor_vehicles,9903.03.14
97040000,motor_vehicles,9903.03.14
97051000,motor_vehicles,9903.03.14
97052900,motor_vehicles,9903.03.14
97053900,motor_vehicles,9903.03.14
97069000,motor_vehicles,9903.03.14
