hts_code,condition
81129240,full
81129260,full
81129265,full
81129910,full
81129920,full
81129991,full
83021060,aircraft
83021090,aircraft
83022000,aircraft
83024230,aircraft
83024260,aircraft
83024940,aircraft
83024960,aircraft
83024980,aircraft
83026030,aircraft
83071030,aircraft
83079030,aircraft
84071000,aircraft
84089090,aircraft
84091000,aircraft
84111140,aircraft
84111180,aircraft
84111240,aircraft
84111280,aircraft
84112140,aircraft
84112180,aircraft
84112240,aircraft
84112280,aircraft
84118140,aircraft
84118240,aircraft
84119110,aircraft
84119190,aircraft
84119910,aircraft
84119990,aircraft
84121000,aircraft
84122100,aircraft
84122940,aircraft
84122980,aircraft
84123100,aircraft
84123900,aircraft
84128010,aircraft
84128090,aircraft
84129090,aircraft
84131900,aircraft
84132000,aircraft
84133010,aircraft
84133090,aircraft
84135000,aircraft
84136000,aircraft
84137010,aircraft
84137020,aircraft
84138100,aircraft
84139110,aircraft
84139120,aircraft
84139190,aircraft
84141000,aircraft
84142000,aircraft
84143040,aircraft
84143080,aircraft
84145130,aircraft
84145190,aircraft
84145930,aircraft
84145965,aircraft
84148005,aircraft
84148016,aircraft
84148020,aircraft
84148090,aircraft
84149010,aircraft
84149030,aircraft
84149041,aircraft
84149091,aircraft
84151060,aircraft
84151090,aircraft
84158101,aircraft
84158201,aircraft
84158300,aircraft
84159040,aircraft
84159080,aircraft
84181000,aircraft
84183000,aircraft
84184000,aircraft
84186101,aircraft
84186901,aircraft
84195010,aircraft
84195050,aircraft
84198150,aircraft
84198190,aircraft
84199010,aircraft
84199020,aircraft
84199030,aircraft
84199050,aircraft
84199085,aircraft
84211900,aircraft
84212100,aircraft
84212300,aircraft
84212900,aircraft
84213100,aircraft
84213200,aircraft
84213901,aircraft
84241000,aircraft
84251100,aircraft
84251900,aircraft
84253101,aircraft
84253901,aircraft
84254200,aircraft
84254900,aircraft
84269900,aircraft
84281000,aircraft
84282000,aircraft
84283300,aircraft
84283900,aircraft
84289003,aircraft
84433100,aircraft
84433210,aircraft
84433250,aircraft
84713001,full
84714101,full
84714900,full
84715001,full
84716010,full
84716020,full
84716070,full
84716080,full
84716090,full
84717010,full
84717020,full
84717030,full
84717040,full
84717050,full
84717060,full
84717090,full
84718010,full
84718040,full
84718090,full
84719000,full
84733011,full
84733020,full
84733051,full
84733091,full
84798910,aircraft
84798920,aircraft
84798965,aircraft
84798970,aircraft
84798995,aircraft
84799041,aircraft
84799045,aircraft
84799055,aircraft
84799065,aircraft
84799075,aircraft
84799085,aircraft
84799095,aircraft
84831010,aircraft
84831030,aircraft
84831050,aircraft
84833040,aircraft
84833080,aircraft
84834010,aircraft
84834030,aircraft
84834050,aircraft
84834070,aircraft
84834080,aircraft
84834090,aircraft
84835040,aircraft
84835060,aircraft
84835090,aircraft
84836040,aircraft
84836080,aircraft
84839010,aircraft
84839020,aircraft
84839030,aircraft
84839050,aircraft
84839080,aircraft
84841000,aircraft
84849000,aircraft
84861000,full
84862000,full
84863000,full
84864000,full
84869000,full
85012050,aircraft
85012060,aircraft
85013150,aircraft
85013160,aircraft
85013181,aircraft
85013220,aircraft
85013255,aircraft
85013261,aircraft
85013320,aircraft
85013330,aircraft
85013361,aircraft
85013461,aircraft
85014050,aircraft
85014060,aircraft
85015150,aircraft
85015160,aircraft
85015240,aircraft
85015280,aircraft
85015340,aircraft
85015360,aircraft
85016101,aircraft
85016201,aircraft
85016301,aircraft
85017100,aircraft
85017210,aircraft
85017220,aircraft
85017230,aircraft
85017290,aircraft
85018010,aircraft
85018020,aircraft
85018030,aircraft
85021100,aircraft
85021200,aircraft
85021300,aircraft
85022000,aircraft
85023100,aircraft
85023900,aircraft
85024000,aircraft
85041000,aircraft
85043120,aircraft
85043140,aircraft
85043160,aircraft
85043200,aircraft
85043300,aircraft
85044040,aircraft
85044060,aircraft
85044070,aircraft
85044085,aircraft
85044095,aircraft
85045040,aircraft
85045080,aircraft
8505110070,full
85071000,aircraft
85072080,aircraft
85073080,aircraft
85075000,aircraft
85076000,aircraft
85078082,aircraft
85079040,aircraft
85079080,aircraft
85111000,aircraft
85112000,aircraft
85113000,aircraft
85114000,aircraft
85115000,aircraft
85118020,aircraft
85118040,aircraft
85118060,aircraft
85142040,aircraft
85168040,aircraft
85168080,aircraft
85171300,full
85171400,aircraft
85176100,aircraft
85176200,full
85176900,aircraft
85177100,aircraft
85181040,aircraft
85181080,aircraft
85182100,aircraft
85182200,aircraft
85182940,aircraft
85182980,aircraft
85183010,aircraft
85183020,aircraft
85184010,aircraft
85184020,aircraft
85185000,aircraft
85198110,aircraft
85198120,aircraft
85198125,aircraft
85198130,aircraft
85198141,aircraft
85198910,aircraft
85198920,aircraft
85198930,aircraft
85211030,aircraft
85211060,aircraft
85211090,aircraft
85229025,aircraft
85229036,aircraft
85229045,aircraft
85229058,aircraft
85229065,aircraft
85229080,aircraft
85235100,full
85241110,full
85241190,full
85241200,full
85241900,full
85249110,full
85249190,full
85249200,full
85249900,full
85261000,aircraft
85269100,aircraft
85269210,aircraft
85269250,aircraft
85284200,aircraft
85285200,full
85286200,aircraft
85291021,aircraft
85291040,aircraft
85291091,aircraft
85299004,aircraft
85299005,aircraft
85299006,aircraft
85299009,aircraft
85299013,aircraft
85299016,aircraft
85299019,aircraft
85299021,aircraft
85299024,aircraft
85299029,aircraft
85299033,aircraft
85299036,aircraft
85299039,aircraft
85299043,aircraft
85299046,aircraft
85299049,aircraft
85299055,aircraft
85299063,aircraft
85299068,aircraft
85299073,aircraft
85299077,aircraft
85299078,aircraft
