GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
02061091,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,153.00,1995-07-01
02061099,80,4,autres,Fr. par 100 kg brut,1,919.00,1995-07-01
,10,2,"de l'espèce bovine, congelés:",,,,1988-01-01
020621,80,3,langues:,,0,,1988-01-01
02062110,80,4,importées dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,110.00,1995-07-01
02062190,80,4,autres,Fr. par 100 kg brut,1,153.00,1995-07-01
020622,80,3,foies:,,0,,1988-01-01
02062210,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,220.00,1995-07-01
02062290,80,4,autres,Fr. par 100 kg brut,1,919.00,1995-07-01
020629,80,3,autres:,,0,,1988-01-01
02062910,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,140.00,1995-07-01
02062990,80,4,autres,Fr. par 100 kg brut,1,919.00,1995-07-01
020630,80,2,"de l'espèce porcine, frais ou réfrigérés:",,0,,1988-01-01
02063010,80,3,de sangliers,Fr. par 100 kg brut,1,7.00,1995-07-01
,10,3,autres:,,,,1995-07-01
02063091,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,50.00,1995-07-01
02063099,80,4,autres,Fr. par 100 kg brut,1,68.00,1995-07-01
,10,2,"de l'espèce porcine, congelés:",,,,1988-01-01
020641,80,3,foies:,,0,,1988-01-01
02064110,80,4,de sangliers,Fr. par 100 kg brut,1,49.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02064191,80,5,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,68.00,1995-07-01
02064199,80,5,autres,Fr. par 100 kg brut,1,68.00,1995-07-01
020649,80,3,autres:,,0,,1988-01-01
02064910,80,4,de sangliers,Fr. par 100 kg brut,1,49.00,1995-07-01
,10,4,autres:,,,,1995-07-01
02064991,80,5,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,68.00,1995-07-01
02064999,80,5,autres,Fr. par 100 kg brut,1,68.00,1995-07-01
020680,80,2,"autres, frais ou réfrigérés:",,0,,1988-01-01
02068010,80,3,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,68.00,1995-07-01
02068090,80,3,autres,Fr. par 100 kg brut,1,68.00,1995-07-01
020690,80,2,"autres, congelés:",,0,,1988-01-01
02069010,80,3,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par 100 kg brut,1,68.00,1995-07-01
02069090,80,3,autres,Fr. par 100 kg brut,1,68.00,1995-07-01
0207,80,1,"Viandes et abats comestibles, frais, réfrigérés ou congelés, des volailles du n° 0105:",,0,,1988-01-01
,10,2,de volailles de l'espèce Gallus domesticus:,,,,1996-01-01
020711,80,3,"non découpés en morceaux, frais ou réfrigérés:",,0,,1996-01-01
02071110,80,4,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02071190,80,4,autres,Fr. par 100 kg brut,1,312.00,1996-01-01
020712,80,3,"non découpés en morceaux, congelés:",,0,,1996-01-01
02071210,80,4,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02071290,80,4,autres,Fr. par 100 kg brut,1,566.00,1996-01-01
020713,80,3,"morceaux et abats, frais ou réfrigérés:",,0,,1996-01-01
,10,4,poitrines:,,,,1996-01-01
02071311,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02071319,80,5,autres,Fr. par 100 kg brut,1,1581.00,1996-01-01
,10,4,autres morceaux et abats:,,,,1996-01-01
02071321,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02071329,80,5,autres,Fr. par 100 kg brut,1,2280.00,1996-01-01
020714,80,3,"morceaux et abats, congelés:",,0,,1996-01-01
,10,4,poitrines:,,,,1996-01-01
02071481,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02071489,80,5,autres,Fr. par 100 kg brut,1,1945.00,1996-01-01
,10,4,autres:,,,,1996-01-01
02071491,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02071499,80,5,autres,Fr. par 100 kg brut,1,456.00,1996-01-01
,10,2,de dindes et dindons:,,,,1996-01-01
020724,80,3,"non découpés en morceaux, frais ou réfrigérés:",,0,,1996-01-01
02072410,80,4,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02072490,80,4,autres,Fr. par 100 kg brut,1,422.00,1996-01-01
020725,80,3,"non découpés en morceaux, congelés:",,0,,1996-01-01
02072510,80,4,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02072590,80,4,autres,Fr. par 100 kg brut,1,497.00,1996-01-01
020726,80,3,"morceaux et abats, frais ou réfrigérés:",,0,,1996-01-01
,10,4,poitrines:,,,,1996-01-01
02072611,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02072619,80,5,autres,Fr. par 100 kg brut,1,1669.00,1996-01-01
,10,4,autres morceaux et abats:,,,,1996-01-01
02072621,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02072629,80,5,autres,Fr. par 100 kg brut,1,647.00,1996-01-01
020727,80,3,"morceaux et abats, congelés:",,0,,1996-01-01
,10,4,poitrines:,,,,1996-01-01
02072781,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02072789,80,5,autres,Fr. par 100 kg brut,1,1880.00,1996-01-01
,10,4,autres:,,,,1996-01-01
02072791,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,1996-01-01
02072799,80,5,autres,Fr. par 100 kg brut,1,358.00,1996-01-01
,10,2,de canards:,,,,2012-01-01
020741,80,3,"non découpés en morceaux, frais ou réfrigérés:",,0,,2012-01-01
02074110,80,4,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,2012-01-01
02074190,80,4,autres,Fr. par 100 kg brut,1,559.00,2012-01-01
020742,80,3,"non découpés en morceaux, congelés:",,0,,2012-01-01
02074210,80,4,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,2012-01-01
02074290,80,4,autres,Fr. par 100 kg brut,1,937.00,2012-01-01
02074300,80,3,"foies gras, frais ou réfrigérés",Fr. par 100 kg brut,1,32.00,2012-01-01
020744,80,3,"autres, frais ou réfrigérés:",,0,,2012-01-01
,10,4,poitrines:,,,,2012-01-01
02074411,80,5,importées dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,2012-01-01
02074419,80,5,autres,Fr. par 100 kg brut,1,1966.00,2012-01-01
,10,4,autres:,,,,2012-01-01
02074491,80,5,importés dans les limites du contingent tarifaire (c. n° 6),Fr. par 100 kg brut,1,135.00,2012-01-01
02074499,80,5,autres,Fr. par 100 kg brut,1,135.00,2012-01-01
020745,80,3,"autres, congelés:",,0,,2012-01-01
02074510,80,4,foies gras,Fr. par 100 kg brut,1,4555.00,2012-01-01
