GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
02069090,80,3,andere,Fr. je 100 kg brutto,1,68.00,1995-07-01
0207,80,1,"Fleisch und geniessbare Schlachtnebenprodukte von Geflügel der Nr. 0105, frisch, gekühlt oder gefroren:",,0,,1988-01-01
,10,2,von Geflügel der Gattung Gallus domesticus:,,,,1996-01-01
020711,80,3,"nicht in Stücke zerteilt, frisch oder gekühlt:",,0,,1996-01-01
02071110,80,4,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02071190,80,4,andere,Fr. je 100 kg brutto,1,312.00,1996-01-01
020712,80,3,"nicht in Stücke zerteilt, gefroren:",,0,,1996-01-01
02071210,80,4,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02071290,80,4,andere,Fr. je 100 kg brutto,1,566.00,1996-01-01
020713,80,3,"Stücke und Schlachtnebenprodukte, frisch oder gekühlt:",,0,,1996-01-01
,10,4,Brüste:,,,,1996-01-01
02071311,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02071319,80,5,andere,Fr. je 100 kg brutto,1,1581.00,1996-01-01
,10,4,andere Stücke und Schlachtnebenprodukte:,,,,1996-01-01
02071321,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02071329,80,5,andere,Fr. je 100 kg brutto,1,2280.00,1996-01-01
020714,80,3,"Stücke und Schlachtnebenprodukte, gefroren:",,0,,1996-01-01
,10,4,Brüste:,,,,1996-01-01
02071481,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02071489,80,5,andere,Fr. je 100 kg brutto,1,1945.00,1996-01-01
,10,4,andere:,,,,1996-01-01
02071491,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02071499,80,5,andere,Fr. je 100 kg brutto,1,456.00,1996-01-01
,10,2,von Truthühnern:,,,,1996-01-01
020724,80,3,"nicht in Stücke zerteilt, frisch oder gekühlt:",,0,,1996-01-01
02072410,80,4,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02072490,80,4,andere,Fr. je 100 kg brutto,1,422.00,1996-01-01
020725,80,3,"nicht in Stücke zerteilt, gefroren:",,0,,1996-01-01
02072510,80,4,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02072590,80,4,andere,Fr. je 100 kg brutto,1,497.00,1996-01-01
020726,80,3,"Stücke und Schlachtnebenprodukte, frisch oder gekühlt:",,0,,1996-01-01
,10,4,Brüste:,,,,1996-01-01
02072611,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02072619,80,5,andere,Fr. je 100 kg brutto,1,1669.00,1996-01-01
,10,4,andere Stücke und Schlachtnebenprodukte:,,,,1996-01-01
02072621,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02072629,80,5,andere,Fr. je 100 kg brutto,1,647.00,1996-01-01
020727,80,3,"Stücke und Schlachtnebenprodukte, gefroren:",,0,,1996-01-01
,10,4,Brüste:,,,,1996-01-01
02072781,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02072789,80,5,andere,Fr. je 100 kg brutto,1,1880.00,1996-01-01
,10,4,andere:,,,,1996-01-01
02072791,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,1996-01-01
02072799,80,5,andere,Fr. je 100 kg brutto,1,358.00,1996-01-01
,10,2,von Enten:,,,,2012-01-01
020741,80,3,"nicht in Stücke zerteilt, frisch oder gekühlt:",,0,,2012-01-01
02074110,80,4,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,2012-01-01
02074190,80,4,andere,Fr. je 100 kg brutto,1,559.00,2012-01-01
020742,80,3,"nicht in Stücke zerteilt, gefroren:",,0,,2012-01-01
02074210,80,4,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,2012-01-01
02074290,80,4,andere,Fr. je 100 kg brutto,1,937.00,2012-01-01
02074300,80,3,"Fettlebern, frisch oder gekühlt",Fr. je 100 kg brutto,1,32.00,2012-01-01
020744,80,3,"andere, frisch oder gekühlt:",,0,,2012-01-01
,10,4,Brüste:,,,,2012-01-01
02074411,80,5,innerhalb des Zollkontingents (K-Nr. 6) eingeführt,Fr. je 100 kg brutto,1,135.00,2012-01-01
